,Magnitude,Repute,Summary
Rs4792311(A;A),2,Bad,Increased risk of prostate cancer
Rs9264942(C;C),2.2,Good,90% reduction in HIV viral load
Rs9264942(C;T),2.1,Good,60% reduction in HIV viral load
Rs2395029(G;G),4,Bad,HLA-B*5701 homozygote likely if Caucasian or Hispanic; high risk for hypersensitivity to various drugs including abacavir; 2x psoriasis risk; see details
Rs931127(A;A),2.1,Bad,2.15x more likely positive lymph node
Rs1805006(A;A),3,Bad,Melanoma risk; red hair
Rs1805009(C;C),3,Bad,"red hair possible, higher risk of melanoma"
Rs1804197(A;A),2,Bad,Increased risk of familial colorectal cancer and Asperger's syndrome
Rs1057910(A;A),0.1,Good,normal; no effect on warfarin metabolism
Rs1057910(C;C),4,Bad,CYP2C9*3 homozygote; average 80% reduction in warfarin metabolism; reduced metabolism of number of other drugs
Rs1799853(C;C),1,Good,normal; no risk of altered warfarin metabolism or NSAID metabolism
Rs1799853(T;T),2,Bad,"~ 40% reduction in warfarin metabolism, greater NSAID risk"
Rs6265(A;G),2.6,Bad,Slightly increased risk for ADHD or depression; somewhat quicker mental decline in Alzheimer patients
Rs10883365(A;A),1,Good,Normal risk of developing Crohn's disease
Rs11209026(G;G),1.1,Bad,"Normal, but higher risk for certain autoimmune diseases."
Rs11209026(A;A),3,Good,0.26x lower risk for certain autoimmune diseases.
Rs1801282(C;C),0.1,Good,normal fat metabolism; 
Rs1801282(G;G),3,Bad,Unconfirmed higher risk of cardiovascular disease with high saturated fat diet
Rs5219(T;T),2.5,Bad,2.5x increased risk for type-2 diabetes
Rs1229984(A;A),2,Good,0.56x decreased risk of oral/throat cancers
Rs2241880(C;C),2.5,Bad,2x-3x increased risk for Crohn's disease in Caucasians
Rs10490924(T;T),3.5,Bad,8.2x risk for age related macular degeneration
Rs4988235(C;C),2.5,Bad,likely to be lactose intolerant as an adult
Rs13266634(C;C),3,Bad,increased risk for type-2 diabetes
Rs13266634(T;T),0,Good,Normal risk for type-2 diabetes
Rs421016(A;A),0,Good,normal/common
Rs421016(G;G),6,Bad,Gaucher disease; at least 5x higher risk of Parkinson's
Rs9939609(A;A),3,Bad,obesity risk and 1.6x risk for T2D
Rs1815739(C;C),2.2,Good,Better performing muscles. Likely sprinter.
Rs17070145(T;T),2.1,Good,greatly increased memory performance
Rs4420638(A;A),0,Good,Normal/Average risk for Alzheimer's
Rs9939609(A;T),2.4,Bad,1.3x risk for T2D; obesity risk
Rs4129148(C;C),3,Bad,>3x risk of schizophrenia
Rs1333049(C;G),3,Bad,1.5x increased risk for CAD
Rs8055236(G;G),1.7,Bad,"common, but 2.2x higher risk for heart disease"
Rs17672135(C;T),1.4,Good,Reduced risk (0.7x) for heart disease
Rs688034(T;T),2,Bad,1.6x risk
Rs7250581(G;G),2,Bad,1.4x risk
Rs383830(A;A),2,Bad,1.9x risk
Rs283413(T;T),2.5,Bad,3x higher risk for PD
Rs2273535(T;T),2.1,Bad,slightly higher (~1.5x or less) risk for certain cancers
Rs1799930(A;A),2.4,Bad,Somewhat increased risk of hearing loss
Rs1800460(A;A),3.5,Bad,incapable of detoxifying byproducts of certain drugs
Rs1142345(G;G),3.5,Bad,possibly incapable of detoxifying certain drugs
Rs1800462(G;G),0,Good,normal for 23andMe
Rs1800462(C;C),3.5,Bad,incapable of detoxifying certain drugs
Rs16942(G;G),2,Bad,very slightly increased breast cancer risk
Rs1799950(A;A),0,Good,normal breast cancer risk
Rs1799950(G;G),2,Bad,very slightly increased breast cancer risk
Rs1800497(C;C),3,Good,Normal (A2/A2)
Rs1800497(T;T),4,Bad,A1/A1: Bad at avoidance of errors. 0.25x lower OCD; 0.56x lower Tardive Diskinesia; higher ADHD; 1.4x Alcohol Dependence; lower Postoperative Nausea; Increased obesity; less pleasure response; Bupropion ineffective for smoking cessation.; 2.4x risk for adenoma recurrence.
Rs699(C;C),2,Bad,increased risk of hypertension
Rs1800795(C;C),2,Bad,"less IL6; certain risks, see details"
Rs1800795(G;G),2,Bad,"more IL6; certain risks, see details"
Rs10516487(T;T),1.4,Bad,slightly higher risk for lupus
Rs5174(G;G),1,Good,Normal risk for heart disease
Rs5174(A;A),2,Bad,1.3x increased risk for heart disease
Rs601338(G;G),0.1,Bad,susceptible to Norovirus infections
Rs601338(A;A),2.5,Good,resistance to Norovirus infection
Rs268(G;G),2.1,Bad,3X+ increased risk for venous thromboembolism
Rs6897932(C;C),2,Bad,1.08x increased risk for multiple sclerosis
Rs3129934(C;T),2,Bad,Increased risk of Multiple Sclerosis.
Rs12593813(G;G),1,Bad,normal risk of restless leg syndrome
Rs11635424(G;G),1,Bad,normal risk of restless leg syndrome
Rs3087243(A;G),1.5,Bad,increased risk for auto-immune diseases
Rs420259(C;T),1.5,Good,Possibly reduced risk of Bipolar Disorder.
Rs8050136(A;C),1.2,Bad,1.2x increased risk for T2D in some populations
Rs7961152(A;A),2,Bad,1.5x higher risk for hypertension
Rs4792311(A;G),2,Bad,Increased risk of prostate cancer
Rs4129148(C;G),2,Bad,3x risk of schizophrenia.
Rs6457617(C;T),2,Bad,2.3x risk of rheumatoid arthritis
Rs1799930(A;G),1.7,Bad,Possibly slightly increased risk of hearing loss
Rs4506565(A;T),1.5,Bad,1.4x increased risk for type-2 diabetes
Rs11171739(C;T),1.5,Bad,1.34x risk of developing Type-1 diabetes
Rs10811661(T;T),2.1,Bad,1.2x increased risk for type-2 diabetes
Rs4779584(C;T),2,Bad,1.23x risk for colorectal cancer
Rs599839(A;G),1.3,Bad,1.3x increased risk for heart disease; slightly lower (0.8x) risk for abdominal aortic aneurysm
Rs2073711(C;T),2,Good,Back Pain: lower risk of Lumbar Disc Disease.
Rs2300478(T;T),1,Good,Normal risk of developing restless legs syndrome
Rs2056116(G;G),2,Bad,1.41x risk for breast cancer
Rs4027132(G;G),1,Good,Normal risk of developing bipolar disorder
Rs6601764(T;T),1,Good,Normal risk of developing Crohn's disease
Rs3825776(A;A),1,Good,Normal risk for ALS
Rs9272346(A;A),3,Bad,18.5x risk for type-1 diabetes
Rs2104286(A;G),0,Bad,1.4x risk for RA; 1.3x for T1D; also MS?
Rs1566734(G;T),0.5,Bad,"Somatic mutation, cancer associated"
Rs3803662(T;T),3,Bad,1.6x increased risk for breast cancer
Rs6997709(G;T),2,Bad,1.2x higher risk for hypertension
Rs17465637(C;C),1.34,Bad,1.34x higher risk for myocardial infarction
Rs1333049(C;C),4,Bad,1.9x increased risk for coronary artery disease
Rs1121980(C;T),2.5,Bad,Slight increase (1.67x) in risk for obesity
Rs3784709(C;C),1,Bad,Normal risk of developing restless legs syndrome
Rs17672135(T;T),2,Bad,1.3x risk of heart disease
Rs6604026(C;T),1.5,Bad,1.15x risk of multiple sclerosis
Rs27388(A;G),1.5,Bad,Slightly increased risk of developing schizophrenia
Rs2201841(T;T),2,Bad,2.4x increased risk for Graves' disease
Rs1375144(T;T),1,Good,Normal risk of developing bipolar disorder
Rs6908425(C;T),1.5,Bad,1.63x increased risk of developing Crohn's disease
Rs2254958(C;T),1.2,Bad,"1.24x reported increased risk for Alzheimer's; however, see comments on main rs-page"
Rs2235040(G;G),1.1,Bad,possibly lesser chances of remission only for inpatients on certain antidepressants
Rs7794745(T;T),2,Bad,slightly increased risk for autism
Rs4968451(A;A),0,Good,Normal risk for meningioma
Rs12037606(A;G),1.5,Bad,1.22x risk of developing Crohn's disease
Rs10984447(A;A),2,Bad,>1.17x increased risk for multiple sclerosis
Rs10490924(G;T),2.5,Bad,2.7x risk for age related macular degeneration
Rs13149290(C;T),1.5,Bad,Slightly increased risk of developing prostate cancer
Rs358806(C;C),2,Bad,1.78x increased risk of developing Type-2 diabetes
Rs1026732(G;G),1,Bad,normal risk of restless leg syndrome
Rs10492519(A;A),1,Good,Normal risk of developing prostate cancer
Rs10761659(A;G),1,Bad,1.2x risk of Crohn's disease
Rs9357271(T;T),1,Good,Normal risk of developing restless legs syndrome
Rs17228212(C;C),2,Bad,>1.26x increased risk for heart disease
Rs17696736(A;G),2,Bad,1.34x risk of type-1 diabetes
Rs17070145(C;T),2,Good,increased memory performance
Rs4489954(G;G),1,Bad,Normal risk of developing restless legs syndrome
Rs11887534(G;G),0,Good,normal risk for gallstones
Rs671(A;G),3.5,Bad,Asian Flush; worse hangovers; increased risk of esophageal cancer; East Asian ancestry; Disulfiram probably not effective for alcoholism.
Rs2814778(A;A),1,Good,Duffy-positive
Rs1050565(G;G),2,Bad,"if testicular cancer patient, 5x poorer response to bleomycin chemotherapy"
Rs1801394(G;G),2,Bad,1.4x higher risk for meningiomas
Rs1800566(T;T),3.1,Bad,Benzene toxicity; cancer risks
Rs45539432(T;T),8.9,Bad,"Parkinson's disease, type 6, early-onset; likely"
Rs16969968(A;A),3,Bad,"higher risk for nicotine dependence, lower risk for cocaine dependence"
Rs27388(G;G),1,Good,Normal risk of developing schizophrenia
Rs27072(T;T),1.9,Good,"Lower risk of alcohol withdrawal seizures, and probably lower odds of ADHD."
Rs1805388(A;A),2,Good,reduced risk of multiple myeloma
Rs1805388(C;T),1.2,Good,1.5x reduced risk of multiple myeloma
Rs11614913(T;T),2,Good,decreased risk for colorectal cancer and lung cancer
Rs3087243(A;A),1,Good,Normal risk for auto-immune diseases
Rs7903146(C;C),2,Good,Normal (lower) risk of Type 2 Diabetes and Gestational Diabetes.
Rs5443(C;C),1.5,Good,"normal, but higher risk for several conditions"
Rs3738919(A;A),1,Good,Normal risk of developing rheumatoid arthritis
Rs6449213(C;C),2,Bad,~4x higher risk for hyperuracemia
Rs13149290(T;T),1,Good,Normal risk of developing prostate cancer
Rs1375144(C;C),1.5,Bad,1.59x increased risk of developing bipolar disorder (one study)
Rs30187(C;C),1.2,Good,Normal low risk (0.1%) for ankylosing spondylitis.
Rs2811712(A;A),2,Bad,Normal (higher) risk of physical impairment with age.
Rs4714156(C;C),1.8,Good,<0.61x risk for restless legs
Rs7528684(A;A),1.1,Good,0.73x reduced risk of Graves' disease
Rs27072(C;T),1.9,Good,"Lower risk of alcohol withdrawal seizures, and perhaps lower odds of ADHD."
Rs10050860(C;C),1.3,Good,Normal risk (about 0.1%) for Ankylosing Spondylitis.
Rs17070145(C;C),2.1,Bad,reduced memory abilities
Rs1799884(G;G),2,Good,Mothers have typical Birth-Weight babies. Slightly lower risk of Type 2 Diabetes.
Rs10260404(T;T),1,Good,Normal risk of developing ALS
Rs2156921(A;A),1,Good,normal risk for depression
Rs3194051(A;A),1,Bad,>1.1x risk of type-1 diabetes
Rs440446(G;G),0,Bad,increased risk in men for biliary conditions
Rs7216389(C;C),2,Good,0.69x lower risk of Childhood Asthma.
Rs7794745(A;A),1.1,Good,normal risk (for autism)
Rs7807268(C;C),2,Bad,1.4x risk for Crohn's disease
Rs7923837(A;A),0,Good,normal risk for T2D
Rs9272346(G;G),1.5,Good,No increased risk of Type 1 Diabetes on an important SNP
Rs601338(A;G),0.1,Bad,susceptible to Norovirus infections
Rs2296336(C;C),0,Bad,2.9x risk of type-1 diabetes
Rs1695(A;A),0,Good,normal asthma risk in certain populations
Rs34330(C;C),0,Good,normal risk for endometrial/breast cancer
Rs4939827(T;T),1.5,Bad,1x risk for colorectal cancer
Rs6983267(T;T),2,Good,normal risk for cancers; aspirin reduces risk for colorectal cancer
Rs7574865(G;G),1,Good,"normal risk of rheumatoid arthritis, SLE, Sjögren's syndrome, type-1 diabetes, and primary biliary cirrhosis."
Rs361525(G;G),0,Good,complex; generally normal risk
Rs2223841(G;G),2.1,Good,less likely to go bald
Rs17822931(C;T),2,Good,Wet earwax. Slightly better body odour.
Rs2165241(C;T),2.2,Bad,4.4x increased risk of exfoliation glaucoma
Rs1800497(C;T),2.9,Bad,"A1/A2: Bad at avoidance of errors. 0.5x lower OCD risk, 0.87x lower Tardive Diskinesia risk, higher ADHD risk. More Alcohol Dependence. Lower risk of Postoperative Nausea. Increased obesity. Bupropion is not effective for smoking cessation."
Rs1136287(T;T),2,Bad,3.9x increased risk of wet ARMD in a Taiwanese Chinese population
Rs17576(A;G),2,Bad,"higher risk for MI and lung cancer, and COPD in smokers"
Rs326(A;A),2,Bad,lower HDL cholesterol
Rs2383207(A;G),2,Bad,increased risk for heart disease
Rs6457617(T;T),2.1,Bad,5.2x risk of rheumatoid arthritis
Rs17782313(C;T),2,Bad,adults likely to be 0.22 BMI units higher
Rs7442295(A;A),2,Bad,~4x higher risk for hyperuracemia
Rs11650354(C;T),1.1,Bad,possible risk for allergic asthma
Rs1800629(G;G),0.1,Good,complex; generally normal risk
Rs1815739(C;T),2.1,Good,Mix of muscle types. Likely sprinter.
Rs1050152(T;T),2.1,Bad,2.1x increased risk of Crohn's disease
Rs2241766(G;G),2,Good,Slightly lower risk of breast cancer
Rs2881766(G;G),1,Good,Normal risk for pregnancy-induced hypertension
Rs3095870(G;G),0.1,Bad,1.7x increased risk for SLE (lupus)
Rs3761418(A;A),0,Bad,1.3x increased risk for depression
Rs1495965(A;A),0,Bad,1.2x higher risk for spondylitis
Rs1051730(C;C),2,Good,Smokes normal (lower) number of cigarettes if a smoker.
Rs1421085(T;T),0.1,Good,normal obesity risk
Rs1501299(A;A),2,Good,slightly lower risk of breast cancer
Rs520354(G;G),1,Good,normal risk in men for biliary conditions
Rs2165241(T;T),2.3,Bad,>10x increased risk of exfoliation glaucoma
Rs9394492(C;C),0,Good,<0.76x risk for restless legs
Rs6684865(A;A),0,Bad,1.5x risk of rheumatoid arthritis
Rs6908425(T;T),1,Good,Normal risk of developing Crohn's disease
Rs6232(G;G),2.1,Bad,Higher risk of obesity and insulin sensitivity
Rs6910071(G;G),2,Bad,6x higher risk of rheumatoid arthritis
Rs10761659(A;A),0,Bad,1.5x risk of Crohn's disease
Rs2383207(G;G),2.1,Bad,increased risk for heart disease
Rs1004819(C;C),1,Bad,"1.5x risk of Crohn's disease, 1.2 for developing ankylosing spondylitis"
Rs619203(C;G),1.5,Bad,increases susceptibility to Myocardial Infarction 1.15 times
Rs6604026(C;C),2,Bad,>1.15x risk of multiple sclerosis
